P_PARTKEY,P_NAME,P_MFGR,P_BRAND,P_TYPE,P_SIZE,P_CONTAINER,P_RETAILPRICE,P_COMMENT
121772,ivory gainsboro seashell light papaya,Manufacturer#2,Brand#22,MEDIUM ANODIZED TIN,26,LG PKG,1793.77,deas are. carefully 
121774,turquoise drab blue floral thistle,Manufacturer#3,Brand#31,PROMO ANODIZED TIN,35,SM CAN,1795.77,lets! quick
121951,cornsilk burlywood cream moccasin almond,Manufacturer#2,Brand#25,MEDIUM ANODIZED STEEL,32,WRAP BOX,1972.95,sits are sl
180279,salmon plum floral honeydew royal,Manufacturer#2,Brand#21,PROMO POLISHED COPPER,11,WRAP PKG,1359.27,ide the fu
180285,beige peru violet maroon navajo,Manufacturer#4,Brand#41,PROMO BURNISHED NICKEL,34,LG PACK,1365.28,lithely re
180566,cream olive goldenrod saddle slate,Manufacturer#1,Brand#14,LARGE ANODIZED NICKEL,42,WRAP BOX,1646.56,s. packa
180582,spring pale hot plum blue,Manufacturer#3,Brand#33,ECONOMY BURNISHED COPPER,38,WRAP JAR,1662.58,gular ac
180810,goldenrod linen forest steel orange,Manufacturer#4,Brand#41,STANDARD BURNISHED TIN,32,SM DRUM,1890.81,oxes sublate blithely
181046,maroon thistle grey rose steel,Manufacturer#1,Brand#12,LARGE BRUSHED STEEL,24,WRAP CAN,1127.04, iron
181307,navajo wheat salmon mint rose,Manufacturer#2,Brand#21,MEDIUM ANODIZED TIN,1,MED PKG,1388.3,ly si
181381,seashell coral dark almond brown,Manufacturer#5,Brand#52,MEDIUM POLISHED NICKEL,17,MED CASE,1462.38,gainst t
181482,lemon blanched burnished dodger ghost,Manufacturer#3,Brand#33,STANDARD BURNISHED STEEL,10,LG CASE,1563.48,slyly fin
181511,chiffon navy pink cornflower dark,Manufacturer#4,Brand#42,MEDIUM BURNISHED STEEL,14,MED CASE,1592.51,"wake final, ironic dep"
181517,midnight burlywood firebrick moccasin lawn,Manufacturer#5,Brand#54,SMALL PLATED BRASS,33,MED DRUM,1598.51,ious fo
181587,dark indian drab powder sandy,Manufacturer#3,Brand#31,MEDIUM PLATED STEEL,22,MED BOX,1668.58, are quic
181602,plum violet navajo dodger lemon,Manufacturer#5,Brand#53,LARGE BURNISHED TIN,39,JUMBO PKG,1683.6,accounts haggle.
181757,snow blush navajo salmon yellow,Manufacturer#1,Brand#15,STANDARD ANODIZED COPPER,24,MED BAG,1838.75,ly regular multipl
181894,chiffon goldenrod orange burnished lime,Manufacturer#1,Brand#14,LARGE POLISHED NICKEL,49,WRAP DRUM,1975.89,ronic packages cajole
181937,navajo ghost metallic cyan deep,Manufacturer#2,Brand#25,STANDARD POLISHED BRASS,7,MED CAN,2018.93,"c, ironic th"
182114,powder azure moccasin black chiffon,Manufacturer#4,Brand#45,PROMO BURNISHED TIN,45,SM CASE,1196.11,er even pinto beans 
182123,cyan violet cornsilk light forest,Manufacturer#1,Brand#11,MEDIUM POLISHED TIN,15,LG CAN,1205.12,onic depths boost 
182157,aquamarine firebrick ghost purple violet,Manufacturer#4,Brand#42,PROMO BURNISHED TIN,9,JUMBO DRUM,1239.15,carefully express c
182188,blue tan purple ivory violet,Manufacturer#1,Brand#11,PROMO PLATED BRASS,21,SM PKG,1270.18,the slyly express 
182196,spring gainsboro floral blush ghost,Manufacturer#1,Brand#14,MEDIUM PLATED TIN,49,SM JAR,1278.19,l the
182298,cornsilk cyan metallic lace coral,Manufacturer#2,Brand#24,LARGE PLATED NICKEL,32,MED CAN,1380.29,cuses.
182301,ivory burnished salmon bisque turquoise,Manufacturer#2,Brand#21,STANDARD PLATED BRASS,14,SM BAG,1383.3,orges haggle care
182329,sky turquoise thistle pink cornsilk,Manufacturer#5,Brand#51,ECONOMY ANODIZED TIN,17,WRAP CASE,1411.32, across the final the
182341,saddle chocolate metallic misty tan,Manufacturer#3,Brand#35,PROMO POLISHED NICKEL,8,SM BOX,1423.34,g the iro
182533,seashell peru dim dark royal,Manufacturer#2,Brand#24,STANDARD BRUSHED TIN,38,JUMBO JAR,1615.53,"bove the pending,"
182549,mint cream moccasin gainsboro dark,Manufacturer#1,Brand#13,STANDARD ANODIZED STEEL,47,MED BOX,1631.54,sly ironic deposits
182591,burlywood thistle cyan floral rosy,Manufacturer#4,Brand#44,LARGE PLATED TIN,39,JUMBO BOX,1673.59,wake. carefully speci
182695,blush royal smoke rosy dark,Manufacturer#2,Brand#24,LARGE PLATED NICKEL,33,LG DRUM,1777.69,ss pinto beans. iro
182810,aquamarine seashell linen brown snow,Manufacturer#2,Brand#23,MEDIUM ANODIZED COPPER,20,SM PACK,1892.81,gside of the ironic 
182897,drab moccasin pale thistle rosy,Manufacturer#1,Brand#12,ECONOMY ANODIZED BRASS,2,MED PACK,1979.89,uests hang blithel
183097,sienna hot slate royal blue,Manufacturer#4,Brand#45,ECONOMY BRUSHED STEEL,25,SM BAG,1180.09,ilent theodo
183164,papaya orchid lace magenta tan,Manufacturer#5,Brand#52,LARGE POLISHED COPPER,4,LG JAR,1247.16, careful
183184,thistle indian drab purple deep,Manufacturer#2,Brand#25,STANDARD BRUSHED STEEL,26,JUMBO CAN,1267.18,s the
183382,peach lime sienna yellow ivory,Manufacturer#2,Brand#24,SMALL BURNISHED BRASS,14,JUMBO PKG,1465.38,ve pack
122174,forest floral olive lime maroon,Manufacturer#1,Brand#11,ECONOMY BURNISHED TIN,31,WRAP PKG,1196.17,ously express deposits
122340,saddle navy bisque indian firebrick,Manufacturer#3,Brand#31,MEDIUM BURNISHED TIN,41,JUMBO DRUM,1362.34,requests 
122473,deep navy cream firebrick dark,Manufacturer#1,Brand#15,MEDIUM BURNISHED TIN,42,WRAP BOX,1495.47, deposits 
122501,peru spring almond deep antique,Manufacturer#3,Brand#31,MEDIUM BURNISHED TIN,20,JUMBO JAR,1523.5,rns against the 
122616,cornsilk blue olive metallic azure,Manufacturer#2,Brand#24,ECONOMY POLISHED STEEL,26,MED PACK,1638.61,express 
122692,navajo plum purple cornsilk slate,Manufacturer#3,Brand#34,PROMO BRUSHED NICKEL,22,LG PACK,1714.69,ual accounts
122888,firebrick light blue smoke linen,Manufacturer#5,Brand#54,STANDARD ANODIZED BRASS,12,JUMBO PACK,1910.88,e carefully r
122997,orchid khaki lavender dim dodger,Manufacturer#5,Brand#54,ECONOMY PLATED COPPER,48,MED BOX,2019.99,", even instru"
123643,magenta pink dim slate black,Manufacturer#3,Brand#35,SMALL POLISHED STEEL,22,WRAP CASE,1666.64,ideas haggle slyly
123665,honeydew burlywood ghost gainsboro blush,Manufacturer#2,Brand#23,LARGE BRUSHED COPPER,40,LG PKG,1688.66,inal pinto b
123790,honeydew hot papaya chartreuse sienna,Manufacturer#2,Brand#21,MEDIUM BRUSHED TIN,21,SM DRUM,1813.79, final deposits
123876,maroon puff dark beige azure,Manufacturer#4,Brand#45,ECONOMY BURNISHED TIN,33,LG JAR,1899.87,carefull
123967,moccasin papaya powder gainsboro floral,Manufacturer#3,Brand#33,LARGE BURNISHED COPPER,20,LG CASE,1990.96,final accounts impres
124202,lawn firebrick metallic brown yellow,Manufacturer#4,Brand#41,STANDARD POLISHED BRASS,6,MED CASE,1226.2, account
124205,grey bisque snow spring burlywood,Manufacturer#3,Brand#31,PROMO PLATED TIN,26,MED DRUM,1229.2, foxes nag re
124221,cornsilk saddle smoke beige gainsboro,Manufacturer#1,Brand#12,LARGE ANODIZED NICKEL,11,WRAP BAG,1245.22, even accounts 
124313,purple almond metallic slate ghost,Manufacturer#4,Brand#45,LARGE ANODIZED STEEL,22,SM JAR,1337.31,ly across
124458,blue powder lemon aquamarine peach,Manufacturer#4,Brand#41,MEDIUM POLISHED NICKEL,33,WRAP PKG,1482.45,ages. slyly q
124995,wheat green cyan papaya navajo,Manufacturer#5,Brand#54,PROMO POLISHED TIN,41,LG CASE,2019.99,lly around the regul
125006,sky dodger linen sandy cornsilk,Manufacturer#3,Brand#34,SMALL POLISHED STEEL,16,WRAP BOX,1031,"ts. special, even du"
125044,tomato spring honeydew plum cornflower,Manufacturer#4,Brand#44,MEDIUM ANODIZED COPPER,41,SM CAN,1069.04,p blithely ironic pac
125074,chocolate salmon forest brown plum,Manufacturer#4,Brand#43,STANDARD ANODIZED STEEL,14,MED BAG,1099.07,into beans sl
125304,cornsilk wheat azure slate lace,Manufacturer#2,Brand#21,ECONOMY POLISHED COPPER,29,SM CASE,1329.3, deposi
125501,medium navajo lime rose rosy,Manufacturer#3,Brand#34,STANDARD BRUSHED COPPER,7,WRAP CAN,1526.5,jole slyly except 
125619,maroon chiffon midnight green chocolate,Manufacturer#2,Brand#21,SMALL BRUSHED TIN,12,JUMBO CAN,1644.61,the furiously i
125626,light indian steel plum turquoise,Manufacturer#3,Brand#35,STANDARD PLATED BRASS,26,JUMBO CAN,1651.62,ackag
125689,powder lavender thistle orange lawn,Manufacturer#5,Brand#51,ECONOMY ANODIZED BRASS,40,JUMBO PACK,1714.68, regular grouches
125709,red lace cream ghost chocolate,Manufacturer#5,Brand#52,ECONOMY ANODIZED STEEL,34,WRAP CAN,1734.7, final packages acc
125753,peach brown tan plum ghost,Manufacturer#3,Brand#35,LARGE ANODIZED NICKEL,2,SM BOX,1778.75,regular reque
125837,lemon almond dodger spring tan,Manufacturer#1,Brand#14,ECONOMY ANODIZED TIN,13,MED CASE,1862.83,ests cajole fur
125861,coral deep rosy chocolate medium,Manufacturer#1,Brand#13,MEDIUM BRUSHED COPPER,27,SM DRUM,1886.86,". ironic, slow deposit"
125922,sandy midnight cornsilk deep burnished,Manufacturer#3,Brand#34,MEDIUM PLATED TIN,36,SM CAN,1947.92,grate 
125948,navajo lawn magenta white turquoise,Manufacturer#4,Brand#44,STANDARD ANODIZED TIN,19,WRAP CASE,1973.94,old ideas
126024,midnight blue aquamarine sky powder,Manufacturer#4,Brand#41,ECONOMY BRUSHED TIN,21,JUMBO CASE,1050.02,slyly special pinto
126164,cream sienna tan peach light,Manufacturer#2,Brand#22,STANDARD PLATED BRASS,15,WRAP CASE,1190.16,ckages above the e
126175,turquoise powder magenta navajo deep,Manufacturer#3,Brand#33,LARGE ANODIZED COPPER,33,JUMBO CASE,1201.17,kly special theo
126310,lemon cornflower black blush metallic,Manufacturer#1,Brand#12,STANDARD BURNISHED STEEL,26,JUMBO CASE,1336.31,furiously
126318,seashell hot pink blanched peach,Manufacturer#2,Brand#21,ECONOMY BRUSHED COPPER,32,LG CAN,1344.31,ely re
126348,ghost lace grey cornflower coral,Manufacturer#2,Brand#23,LARGE POLISHED NICKEL,3,SM BOX,1374.34,ding t
126406,medium tan dark saddle orange,Manufacturer#1,Brand#11,PROMO BURNISHED COPPER,7,LG BOX,1432.4, haggle accor
126430,goldenrod sandy chocolate green floral,Manufacturer#4,Brand#43,ECONOMY ANODIZED NICKEL,1,SM CAN,1456.43,ously accounts. even p
126490,beige frosted rosy royal blue,Manufacturer#2,Brand#23,PROMO POLISHED NICKEL,17,JUMBO BOX,1516.49,uests. blithel
126602,wheat metallic azure sandy lavender,Manufacturer#5,Brand#54,LARGE POLISHED NICKEL,11,WRAP CAN,1628.6,nto beans affix slyl
126665,hot plum seashell lemon firebrick,Manufacturer#2,Brand#21,ECONOMY BURNISHED COPPER,44,WRAP CAN,1691.66,bold 
126752,mint honeydew dodger metallic antique,Manufacturer#1,Brand#14,STANDARD BURNISHED STEEL,50,LG CAN,1778.75,heodolit
126777,papaya yellow pink almond ghost,Manufacturer#4,Brand#45,LARGE POLISHED NICKEL,1,JUMBO BAG,1803.77,lyly unu
126853,red cyan bisque cornsilk olive,Manufacturer#3,Brand#31,ECONOMY PLATED BRASS,16,WRAP DRUM,1879.85,yly. blithely ir
126947,royal sandy smoke blue tomato,Manufacturer#1,Brand#15,LARGE ANODIZED NICKEL,45,JUMBO CASE,1973.94,te slyly
126962,cornsilk coral grey yellow moccasin,Manufacturer#3,Brand#31,LARGE ANODIZED TIN,30,JUMBO CASE,1988.96, the blithely 
127031,sky red puff seashell moccasin,Manufacturer#1,Brand#14,ECONOMY PLATED BRASS,34,LG CAN,1058.03,lly unusual foxes.
127109,puff navy lime cream burlywood,Manufacturer#5,Brand#55,STANDARD ANODIZED BRASS,3,WRAP PKG,1136.1, silently across th
3,spring green yellow purple cornsilk,Manufacturer#4,Brand#42,STANDARD POLISHED BRASS,21,WRAP CASE,903,egular deposits hag
24,seashell coral metallic midnight floral,Manufacturer#5,Brand#52,MEDIUM PLATED STEEL,20,MED CASE,924.02, final the
174,hot cornflower slate saddle pale,Manufacturer#1,Brand#15,ECONOMY BRUSHED COPPER,25,LG CASE,1074.17, accounts nag ab
306,lemon peach spring rose ghost,Manufacturer#3,Brand#33,SMALL BURNISHED NICKEL,25,LG PKG,1206.3, regular req
309,red smoke blue pale lace,Manufacturer#4,Brand#42,LARGE ANODIZED NICKEL,49,JUMBO PKG,1209.3,lly even c
127672,white hot sandy indian chartreuse,Manufacturer#4,Brand#42,MEDIUM BURNISHED BRASS,9,MED CASE,1699.67, account
422,honeydew smoke violet pink bisque,Manufacturer#3,Brand#33,STANDARD POLISHED TIN,16,LG CAN,1322.42, bold
534,bisque saddle hot steel frosted,Manufacturer#5,Brand#53,STANDARD PLATED NICKEL,27,LG CASE,1434.53,rts poach over th
581,frosted gainsboro chiffon lawn green,Manufacturer#2,Brand#25,ECONOMY ANODIZED BRASS,44,SM BAG,1481.58, furious foxes. silen
609,almond lemon olive smoke moccasin,Manufacturer#2,Brand#21,ECONOMY BRUSHED TIN,49,JUMBO DRUM,1509.6,cial deposits haggle
648,bisque blue drab cyan almond,Manufacturer#3,Brand#34,SMALL BRUSHED STEEL,2,WRAP JAR,1548.64,eas. regular
128037,snow turquoise wheat forest frosted,Manufacturer#2,Brand#23,MEDIUM BURNISHED STEEL,1,SM BAG,1065.03,pendencies.
128043,gainsboro chiffon lavender grey aquamarine,Manufacturer#2,Brand#21,STANDARD BURNISHED TIN,17,WRAP BAG,1071.04,hely carefully i
745,seashell dark lime midnight puff,Manufacturer#3,Brand#31,PROMO POLISHED COPPER,25,JUMBO BOX,1645.74, silent
758,yellow orchid dim cyan burlywood,Manufacturer#1,Brand#11,ECONOMY ANODIZED TIN,25,MED BOX,1658.75,haggle 
817,azure chocolate lavender blanched burnished,Manufacturer#4,Brand#41,STANDARD ANODIZED TIN,36,JUMBO PKG,1717.81,carefu
825,puff deep hot tomato powder,Manufacturer#1,Brand#13,PROMO PLATED TIN,47,LG CAN,1725.82,lar ide
1063,lavender thistle navajo grey tan,Manufacturer#5,Brand#55,SMALL BURNISHED BRASS,42,MED BAG,964.06, pinto be
1134,sandy antique papaya forest powder,Manufacturer#1,Brand#14,PROMO PLATED BRASS,10,SM PACK,1035.13,. bli
1393,navy blanched slate salmon lime,Manufacturer#3,Brand#34,PROMO BURNISHED COPPER,34,MED CAN,1294.39,endencies boost fu
1484,cream puff coral ghost burlywood,Manufacturer#2,Brand#21,SMALL ANODIZED NICKEL,38,JUMBO PKG,1385.48,ar packages sleep
1496,lemon blue tan ivory lavender,Manufacturer#3,Brand#34,MEDIUM ANODIZED TIN,20,JUMBO JAR,1397.49, wake blithely 
1593,rosy drab snow chocolate midnight,Manufacturer#4,Brand#44,ECONOMY ANODIZED COPPER,1,LG JAR,1494.59,s? instructions hagg
1750,sandy pink turquoise magenta saddle,Manufacturer#2,Brand#23,SMALL PLATED NICKEL,44,JUMBO BAG,1651.75,arefully express 
1755,maroon mint drab deep white,Manufacturer#4,Brand#41,ECONOMY PLATED STEEL,43,LG PACK,1656.75,e slyly even dugou
2074,wheat magenta almond cyan navy,Manufacturer#1,Brand#12,SMALL POLISHED NICKEL,7,MED BAG,976.07,ests boost fu
2140,almond lawn coral powder sky,Manufacturer#4,Brand#41,SMALL BURNISHED TIN,35,SM BOX,1042.14,e slyly pendin
2153,deep burnished pink papaya dim,Manufacturer#1,Brand#14,STANDARD PLATED STEEL,17,SM PACK,1055.15,s sleep slyly after th
40281,cream misty tomato pale beige,Manufacturer#1,Brand#11,SMALL BRUSHED STEEL,4,MED JAR,1221.28,he final packages m
40333,azure smoke cornflower beige lemon,Manufacturer#3,Brand#34,STANDARD BRUSHED TIN,47,MED BOX,1273.33,y even pinto beans. f
40457,rose olive khaki wheat orange,Manufacturer#1,Brand#13,SMALL PLATED STEEL,48,JUMBO DRUM,1397.45, furio
40528,orchid burlywood turquoise plum blanched,Manufacturer#1,Brand#15,LARGE BRUSHED BRASS,29,WRAP BAG,1468.52,pendencies na
40560,rosy floral khaki peach pale,Manufacturer#5,Brand#54,PROMO PLATED TIN,19,SM DRUM,1500.56,y fin
40703,indian misty steel burlywood lace,Manufacturer#3,Brand#35,SMALL PLATED STEEL,17,WRAP BOX,1643.7,ly even di
40817,navajo salmon dim light chocolate,Manufacturer#1,Brand#13,PROMO POLISHED BRASS,30,MED CASE,1757.81, wake acco
40909,royal forest cornflower light deep,Manufacturer#1,Brand#14,LARGE PLATED STEEL,10,WRAP JAR,1849.9,al packag
41002,pale black linen dim sienna,Manufacturer#5,Brand#54,LARGE BRUSHED TIN,22,MED PACK,943,ly regular accou
41126,burnished chiffon lawn sienna papaya,Manufacturer#1,Brand#12,LARGE PLATED NICKEL,45,MED CASE,1067.12,n packages wake bli
41138,sky snow cyan papaya orchid,Manufacturer#3,Brand#34,LARGE ANODIZED BRASS,24,SM CASE,1079.13,somas. carefully 
41181,cornflower midnight grey brown turquoise,Manufacturer#4,Brand#43,MEDIUM ANODIZED NICKEL,26,LG PACK,1122.18,the packag
41408,metallic tan beige burnished bisque,Manufacturer#2,Brand#25,STANDARD PLATED COPPER,14,JUMBO BOX,1349.4,y. quickly special 
41424,slate chiffon chocolate dodger gainsboro,Manufacturer#3,Brand#34,SMALL BURNISHED TIN,16,JUMBO PKG,1365.42,ven deposits. pint
41427,cornsilk rose indian violet bisque,Manufacturer#4,Brand#45,SMALL ANODIZED TIN,1,SM CAN,1368.42,blithel
41492,moccasin antique bisque purple royal,Manufacturer#2,Brand#24,STANDARD ANODIZED BRASS,14,MED CASE,1433.49, specia
41584,purple lime saddle coral olive,Manufacturer#1,Brand#13,MEDIUM PLATED BRASS,30,JUMBO CASE,1525.58,sits haggle according
41680,salmon lawn steel white beige,Manufacturer#4,Brand#42,MEDIUM POLISHED COPPER,49,WRAP DRUM,1621.68,even deposits haggle
41710,orchid steel hot olive dim,Manufacturer#1,Brand#11,MEDIUM BURNISHED TIN,30,JUMBO CAN,1651.71,accounts ag
41734,smoke floral green pink ghost,Manufacturer#4,Brand#45,STANDARD ANODIZED NICKEL,28,MED CAN,1675.73,"ing, unusual ac"
41745,rosy royal orange dim azure,Manufacturer#3,Brand#34,SMALL BURNISHED BRASS,50,SM DRUM,1686.74,es sleep fl
42038,steel floral dark antique yellow,Manufacturer#1,Brand#13,ECONOMY POLISHED STEEL,28,LG PKG,980.03,ackages haggle about t
42046,rose royal midnight pink chocolate,Manufacturer#4,Brand#43,LARGE PLATED BRASS,50,MED JAR,988.04, regular packag
42059,snow aquamarine seashell hot drab,Manufacturer#1,Brand#14,MEDIUM PLATED STEEL,25,WRAP PKG,1001.05,ze among the qui
42150,spring aquamarine cyan frosted drab,Manufacturer#2,Brand#25,MEDIUM ANODIZED NICKEL,11,JUMBO DRUM,1092.15,blithely about the
42231,dim steel cyan deep pale,Manufacturer#2,Brand#23,ECONOMY BRUSHED STEEL,15,SM BAG,1173.23,s. carefully special s
42259,dark burnished red mint gainsboro,Manufacturer#2,Brand#24,STANDARD BRUSHED COPPER,42,SM PACK,1201.25,ronic requests. care
42457,midnight dim snow seashell salmon,Manufacturer#2,Brand#22,LARGE PLATED NICKEL,48,MED BOX,1399.45,g blithely unusual
42671,thistle chiffon sky gainsboro seashell,Manufacturer#5,Brand#55,MEDIUM ANODIZED TIN,34,MED PKG,1613.67,quickly ironic 
42723,dim midnight smoke cornflower royal,Manufacturer#2,Brand#24,MEDIUM ANODIZED NICKEL,49,SM BOX,1665.72,ymptotes hagg
42731,lawn white blanched green salmon,Manufacturer#4,Brand#41,PROMO POLISHED NICKEL,44,LG PACK,1673.73,ular asymptotes hagg
42737,midnight snow honeydew navajo deep,Manufacturer#3,Brand#32,MEDIUM BURNISHED TIN,17,WRAP PACK,1679.73, platelets: sl
42740,cornsilk misty blanched gainsboro pink,Manufacturer#4,Brand#44,PROMO BURNISHED TIN,10,JUMBO BAG,1682.74,s haggle slyl
42765,smoke antique tomato deep firebrick,Manufacturer#3,Brand#34,ECONOMY POLISHED COPPER,16,LG CAN,1707.76,final instructions bo
42901,maroon peru blush pale cyan,Manufacturer#4,Brand#42,LARGE BURNISHED NICKEL,2,JUMBO BAG,1843.9,ly even packag
43066,ivory spring midnight saddle lawn,Manufacturer#1,Brand#12,MEDIUM PLATED BRASS,39,SM CASE,1009.06,ly final packag
43123,cornflower thistle olive brown lawn,Manufacturer#1,Brand#15,SMALL ANODIZED BRASS,19,SM CASE,1066.12,ias wak
43194,navy chiffon red lemon navajo,Manufacturer#1,Brand#11,ECONOMY PLATED NICKEL,41,LG DRUM,1137.19,pinto beans haggle
43341,salmon olive smoke moccasin mint,Manufacturer#3,Brand#31,PROMO PLATED TIN,26,WRAP BOX,1284.34,ong t
43408,forest maroon tomato metallic ivory,Manufacturer#1,Brand#15,ECONOMY BRUSHED STEEL,35,WRAP CASE,1351.4,ilent packages. b
43465,orchid yellow violet spring blush,Manufacturer#1,Brand#11,STANDARD PLATED STEEL,19,LG BOX,1408.46,ages are. car
43473,khaki royal burlywood honeydew firebrick,Manufacturer#3,Brand#33,SMALL BURNISHED STEEL,8,SM PKG,1416.47, acros
43506,red firebrick metallic chiffon bisque,Manufacturer#3,Brand#31,LARGE BRUSHED NICKEL,5,MED BOX,1449.5,bold instructions do
43562,almond navy deep tan misty,Manufacturer#3,Brand#31,LARGE ANODIZED NICKEL,43,MED DRUM,1505.56,ole quickly
43648,snow blanched light pale yellow,Manufacturer#3,Brand#33,STANDARD ANODIZED STEEL,10,JUMBO BOX,1591.64,d attainments nag
43670,honeydew ivory aquamarine drab mint,Manufacturer#4,Brand#42,PROMO PLATED NICKEL,8,SM PACK,1613.67,e fluffily accordi
43747,lace white puff maroon antique,Manufacturer#2,Brand#22,LARGE ANODIZED BRASS,29,WRAP CASE,1690.74,symptotes abov
44040,royal pink cornflower yellow powder,Manufacturer#4,Brand#44,PROMO PLATED COPPER,50,WRAP PKG,984.04,s. qui
44296,tan beige medium sienna lavender,Manufacturer#4,Brand#41,STANDARD BRUSHED STEEL,17,WRAP BOX,1240.29,nic ideas 
44310,powder medium lemon light blue,Manufacturer#2,Brand#25,SMALL BURNISHED COPPER,17,SM DRUM,1254.31,yly slyly final 
44492,saddle lawn rose grey mint,Manufacturer#5,Brand#52,ECONOMY ANODIZED TIN,38,WRAP CAN,1436.49,onic packages are sly
44855,lace hot grey white peach,Manufacturer#3,Brand#33,LARGE PLATED STEEL,21,MED CASE,1799.85,ound the furio
44892,violet plum wheat slate firebrick,Manufacturer#4,Brand#45,SMALL POLISHED NICKEL,14,LG CASE,1836.89,bold 
45186,chartreuse antique burnished violet spring,Manufacturer#4,Brand#44,STANDARD BRUSHED BRASS,13,JUMBO CAN,1131.18,en instructions. care
45245,red tan chocolate tomato sky,Manufacturer#4,Brand#45,MEDIUM BRUSHED TIN,33,WRAP JAR,1190.24,he furiously final
45253,pale drab cyan lime burlywood,Manufacturer#4,Brand#44,SMALL POLISHED TIN,6,SM BOX,1198.25, final accounts. furi
45289,sky pale plum antique burnished,Manufacturer#4,Brand#42,LARGE POLISHED COPPER,46,MED BAG,1234.28,ntly unusual idea
45455,papaya rosy gainsboro chocolate magenta,Manufacturer#1,Brand#15,SMALL BRUSHED TIN,44,WRAP JAR,1400.45,lithely
45616,blush peru orchid yellow saddle,Manufacturer#1,Brand#13,ECONOMY BRUSHED COPPER,45,JUMBO JAR,1561.61,. pending asympt
45692,spring chartreuse floral powder peach,Manufacturer#2,Brand#21,SMALL BURNISHED STEEL,43,MED PACK,1637.69,"he ironic, regular "
45739,antique cornsilk sandy tan khaki,Manufacturer#1,Brand#13,LARGE BRUSHED TIN,19,SM PACK,1684.73,usly. furiou
45779,azure violet yellow cream aquamarine,Manufacturer#3,Brand#33,LARGE ANODIZED BRASS,26,WRAP DRUM,1724.77,jole fluffily amon
45793,lemon medium violet saddle plum,Manufacturer#2,Brand#24,PROMO POLISHED TIN,32,MED JAR,1738.79, blithely even
45818,hot mint blue violet dim,Manufacturer#2,Brand#23,PROMO POLISHED TIN,21,SM CASE,1763.81,sts thrash furiously
45846,yellow maroon blush light cornflower,Manufacturer#3,Brand#31,SMALL PLATED COPPER,28,LG PACK,1791.84,xcuses. slyly
46216,lavender bisque turquoise orange powder,Manufacturer#2,Brand#21,ECONOMY BURNISHED TIN,44,SM CAN,1162.21,ages print fur
46426,royal tan misty firebrick orange,Manufacturer#4,Brand#43,ECONOMY ANODIZED NICKEL,19,LG BOX,1372.42,low accou
