S_SUPPKEY,S_NAME,S_ADDRESS,S_NATIONKEY,S_PHONE,S_ACCTBAL,S_COMMENT
3016,Supplier#000003016,VwqWdkQOKILMPkBiXMKBSza d3pdhk79GjOfO,17,27-929-687-3620,483.3, cajole carefully. furiously unusual platel
3020,Supplier#000003020,"wAwQ5b,l0CsJ,dbv",19,29-163-423-9151,6566.21, bold deposits use. excuses sleep among the carefully re
3028,Supplier#000003028,jouzgX0WZjhNMWLaH4fy,3,13-671-694-4022,8853.35,. even deposits x-ray quickly.
3033,Supplier#000003033,"4F nwz,wreEqeQrvSNsR0n6N3u50 p8SoiY1dN",13,23-117-168-6842,4954.62,leep about the special courts. blithely special instructions try to slee
3035,Supplier#000003035,j12TLg2wqaP9Ii,10,20-919-155-3978,6437.53,s according to the fluffily regular escapades wake blithely alongside of the furiously unusual accou
3036,Supplier#000003036,SifDb5Zv8PqS,5,15-950-158-1297,8549.25,"ely special requests cajole thin, regular platelets. regular, express deposits across the c"
3046,Supplier#000003046,ZsTNXVjY6mqeQeYT4oW1vb KfBj0,17,27-323-628-1319,9812.48,ut the regular packages. quickly even foxes slee
3048,Supplier#000003048,Cu nnq0xHJm8MfHUw5KwjlYgI,20,30-282-606-3047,5841.32,s sleep carefully unusual deposits. blithely express reques
3053,Supplier#000003053,EVzC xEU8hGQ1rTnsO,23,33-265-220-3273,6214.16,rint blithely carefully regular accounts. slowly bold asymptotes are above the sl
3062,Supplier#000003062,LSQNgqY1xnOzz9zBCapy7HwOZQ,3,13-366-211-5375,7425.18,"unts sleep carefully foxes. pending, silent accounts according to the"
3067,Supplier#000003067,9EPagnou6ashdkFA,6,16-785-224-5371,8591.14,ld pinto beans. slyly final
3076,Supplier#000003076,T8pR6AMA3RRjXPDoqZ9CnuY HTZHbutrLh,4,14-395-910-3054,9759.99, special warthogs cajole quickly a
3079,Supplier#000003079,"mxx x,pVuZ,DWWCJ35GGlWiY",19,29-267-241-5865,2289.04,quests? unusual platelets print slyly among the slyly silent excuses. s
3088,Supplier#000003088,DNwMHXZdqZ0T8enmPDX17Z73rah4yhMUO,24,34-331-890-4202,4759.38,"ending ideas-- unusual deposits integrate slyly final, pe"
3091,Supplier#000003091,JNPFRBSLdD4DksRyryH7eaF51aut2QCYp9p4,14,24-781-138-5146,3530.16,. platelets sleep carefully ironic asymptotes. blithely express depths cajole
3093,Supplier#000003093,"76Xzqa8AVjFv,GXw4gK4WQbAkT,W8MEH2",2,12-877-231-5288,2080.16, carefully theodolites. even pinto beans nag against the pending foxes. furiously regular ideas aga
9100,Supplier#000009100,"aonr5DJ4olXNJ1AWK,CE411m6R7",0,10-159-653-1899,5524.99,ages cajole carefully furiously pending instruc
9102,Supplier#000009102,"s7Y8ojTFEnwKyW,4UAwI",16,26-180-438-1933,5060.47,s! even accounts sleep carefully after the furio
9106,Supplier#000009106,AMxVmYjvWzBZKrrRurkk0q,10,20-396-280-4525,6753.51,inal ideas wake fluffily final packages. ideas wake busily against the quickly final id
9109,Supplier#000009109,TJWdOCmg1g2RtIU1SlTi3bxP9GhqOZLLmUJb,21,31-876-418-8871,8656.48,cajole slyly blithely final packages. blithely even excuses cajole carefully according
9113,Supplier#000009113,MRiD3IZCKabJ1Hwb71T9nCZGleNg8g1lLKE,11,21-267-707-3081,6385.96,usly. regular pinto beans haggle blithely. slyly express accoun
9118,Supplier#000009118,RMx38QA rm1H8ByjZtOcg3f4wXprc,0,10-397-743-5060,1695.32,"bove the quickly regular foxes. even deposits affix slyly around the special courts. special, e"
9121,Supplier#000009121,RTS0DIWKkYEtASj9s7fFRiJFCHIjz4S3,24,34-140-751-5846,9692.71,lar notornis behind the fluffily express theodolites boost quickly instructions. packag
9124,Supplier#000009124,b24qGaEjp95hrQkcsubqJ5WBW2F,9,19-914-792-1918,943.31,te along the regular accounts. furiously
9128,Supplier#000009128,LrpEZbk4mEfBc7yyH9YfSJ9Y32KH,2,12-394-187-2267,5466.74,c foxes. even foxes sleep slyly across the regular frets. pending requests use after the
9133,Supplier#000009133,"u,3Wjz1dlWL4hfYBjRcPF4h9qDwqyS1n",17,27-647-753-5253,4655.8,fully ironic pinto beans are across the blithely enticing foxes. furiously unusual instructi
9146,Supplier#000009146,lR2SxF36dZW6FMwBHXDg0exr,24,34-201-396-9834,807,"osits about the carefully final accounts boost blithely special,"
9149,Supplier#000009149,"yKX,bKryD6YtvF,cVLIKC0Z6rN",21,31-872-724-9290,-513.04,"cording to the regular, close foxes. unusual deposits kindle carefully along the r"
9156,Supplier#000009156,"yKu5huEicRbM7QlUAZaM1VdWURcX0J1kg1U,",7,17-842-117-8653,-985.37,"lly express, special requests! regular, pending instructions are slyly"
9157,Supplier#000009157,IbIHN9WrdVkE5wuaWwFXhTeH0bOlSvNbLYY0LzT,22,32-630-198-1339,2792.98,l foxes? quickly regular reques
9158,Supplier#000009158,"it9tAeDAu9o1xG,G1JH",22,32-604-740-5833,2626.9,"s the silent pinto beans haggle unusual,"
9159,Supplier#000009159,"aw,CBKFilgSVip",16,26-976-858-3615,5336.32,"ly regular accounts detect slyly along the special, express instructions. special requests ea"
9161,Supplier#000009161,H0uLngg5pUdc,14,24-547-951-1269,6600.82,courts about the quickly final 
9162,Supplier#000009162,mQTk6NFXonat5 ocsFkHYFflBe1m6leDm0Q,15,25-111-673-9641,3028.11,unusual accounts. pending pinto beans cajole quickly according t
9169,Supplier#000009169,LxflkGFBwmNEca,19,29-475-686-3568,5256.74, pinto beans are quickly above the fluffily bu
9170,Supplier#000009170,HlWv0fgTn0CgIQZ,23,33-765-165-8168,6991.05,en packages sleep at the slyly final deposits. furiously expr
9174,Supplier#000009174,5ttJzKeXTYkk1hP8TXLxzWO2Z1toj,13,23-197-965-7184,8296.2, ironic theodolites haggle quickly regular excuses. quickly special excuses integrate furiously f
9175,Supplier#000009175,JYoZYAOQdbh,8,18-483-310-3053,7306.86," silent foxes. furiously special theodolites was. idle, final courts dazzle across the sly r"
9176,Supplier#000009176,duvdRRjP3hCE5u1v0Lt,4,14-362-553-8088,467.27,eposits. deposits cajole! instructions wake carefully furiously final deposits. 
9178,Supplier#000009178,"zafaXayok 0PJR kPo,wALge",23,33-556-558-5902,7737.67,"ngside of the even ideas. unusual, pending instructions haggle carefully about the fina"
9182,Supplier#000009182,z56kNgeqaWQ1kHFBp,21,31-640-427-5006,4402.82,according to the quickly regular packages
9187,Supplier#000009187,"eIOnssJBbLCqHBSzB,piOjydDZ1VHVWQqW",9,19-245-931-7249,8601.51, above the blithely regular pinto 
9189,Supplier#000009189,fuTTLRi9REaNL2aqM1prskiw9hlOFYirjeOtR,10,20-497-311-1008,580.87,ithely even forges cajole. furiously bold ideas cajole sometimes alongside o
9190,Supplier#000009190,",PPriCG2e9pu8y62ZwvIgp1bKfmdrSgD7ea",20,30-415-586-1303,3556.45, of the blithely even accounts. quickly final requests cajol
3098,Supplier#000003098,z7pX6i3bDtay7JwDHnXJ5m5OKPpD0gf4h,10,20-944-694-6470,4159.47,apades. slyly even packages according
3099,Supplier#000003099,TbcJ00qZ1y,10,20-251-481-5942,1255.29,ithely final theodolites! slyly ironic theodolites 
3100,Supplier#000003100,F6e6Cd9OxiEnPYEvvE3Exj85Y8UX7e YW7a,14,24-282-786-1518,8602.02, requests. furiously final depo
3101,Supplier#000003101,5mMVwiWrPEu6Hh9,20,30-504-674-8139,-704.41,ts affix quickly ironic requests. pending pinto beans wake. slyly ironic pinto b
3107,Supplier#000003107,Vt4uiXc8CmFbXqY0VmNIELot3Nybh,2,12-322-314-7950,7308.17,"eans. regular, pending pinto beans against th"
3110,Supplier#000003110,"TX6,eAMqVun ed,piJHFzSuK6 f9jvzLiwsxJ9u ",5,15-619-843-4600,3748.92,"boost. unusual, ironic accounts nag carefully about the fluffily permanent w"
3115,Supplier#000003115,2o95Lhh3xn,7,17-905-443-7764,5855.84, the ideas? blithely express ideas wake blithely ironic pinto beans. dependencies are ideas. theod
3118,Supplier#000003118,ryyoRKcYlBIioVfM4,6,16-943-521-7478,5554.39,: even requests maintain slyly about the busily reg
3119,Supplier#000003119,BesKnh7UtGXjw1SRrhcHipB,1,11-940-295-5414,4589.25,of the even accounts haggle blithely special excuses. regula
3121,Supplier#000003121,"wNqTogx238ZYCamFb,50v,bj 4IbNFW9Bvw1xP",19,29-707-291-5144,8781.71,s wake quickly ironic ideas
3123,Supplier#000003123,"aX,0xfzbndYceq2PDE7Plns75HfJ",10,20-561-221-1424,1615.79,ndencies sleep carefully regular pinto beans. furiously bold deposits after the even accoun
3126,Supplier#000003126,RHm9TO8qDwK8WCjjgKqpruvKXNYIN,24,34-979-246-3014,-558.9,iet accounts. slyly special instructions according to the pend
3127,Supplier#000003127,"e5zpOo2IbVIwawn2OeD,uhW5urkAgBm6jTcyiA",24,34-358-351-8680,9520.15,press along the quickly even packages. deposits
3129,Supplier#000003129,KUMv eIKElFwaK54Z3M Aku9g,4,14-479-809-1267,6130.92,"ironic requests haggle. ironic, regular instructions integrate. fluf"
3131,Supplier#000003131,D2geDBAwmRoaL7ha1MTaQTyg1AAS,7,17-745-613-5999,8626.28,ly. requests doubt slyly. blithe
3132,Supplier#000003132,pfNmYxAAzFPdszCzw,0,10-724-107-1782,-30.35,uests integrate fluffily after the carefully special account
3133,Supplier#000003133,ctd9ax8DHT93kvfF91,6,16-259-195-1994,4876.86,ly regular accounts. furiously final pinto beans are quickly according to the unusual instruction
3134,Supplier#000003134,Tf2g02QiZNw5 25ztui bmuYKO1gHT,17,27-331-187-8404,2391.94,nic ideas haggle quickly. final deposits sleep carefully al
3135,Supplier#000003135,Gi51QG3FkK0KELpgnNvS0mQyXWi Bvc,2,12-360-560-7225,5319.06,xpress theodolites sleep fluffily around the even multipliers. unusual accounts above the expr
3136,Supplier#000003136,fz9yPkt1VOpmTka,7,17-835-332-2709,9468.72,blithely instructions. carefully final fox
3137,Supplier#000003137,dlR1SeOSy6FG,0,10-770-759-1402,1827.12,ly daringly bold platelets. regular ex
3139,Supplier#000003139,"lyCs,nPAiP0Ho9ZVH8Niij5b",24,34-464-687-8035,1562.91,le slyly. slyly regular deposits
3141,Supplier#000003141,"NY9pUW7,7YLdShXDLWVRt2sz",15,25-619-837-1643,7302.75,"al foxes across the regular, pending theodolites use blithely about the slyly regular platelets"
3144,Supplier#000003144,aFox92QyiuMnhTngKPpVZ3yDjMOZ8UvS9BA,0,10-552-712-2179,-102.2,lites. regular theodolites haggle final foxes. fluffily
3149,Supplier#000003149,"axCWHGuM6s  HGRQmQ5dSfXZRJuB,aj",14,24-145-488-1805,8588.37,y regular packages. express accounts are! furiously ironic accounts use a
3161,Supplier#000003161,cQScZDuLpBSAU9RlV4OxyvJeHbMpjfwoX,3,13-199-349-7949,2120.49,slyly regular instructions nag doggedly carefully even d
3165,Supplier#000003165,9yUOZLzN9KpH7XOcYn8MPW4beuJQXZQ2X0rrw9oj,6,16-489-897-9202,4750.32,final packages wake furiously among the bo
3166,Supplier#000003166,xdb6MfO7FcPZtB9,10,20-417-589-8306,9623.3,"uests cajole slyly around the final, express foxes. finall"
3172,Supplier#000003172,8ngbGS7BQoTDmJyMa5WV9XbaM31u5FAayd2vT3,10,20-834-374-7746,8175.17,ss deposits use furiously after the quickly final sentiments. fluffily ruthless ideas believe regu
3173,Supplier#000003173,"ydl44utgudl6CP46TF7kliIcF5sC8K9,WH,Tj",15,25-995-176-6622,8084.62, about the furiously pending ideas. quickly final accounts wake according to the furiously ironic
3184,Supplier#000003184,"QePnLXsvlZR9BRYx,ytc56igzNcS,8lFUT",8,18-163-694-8341,2670.41,"its. final foxes nag carefully above the regular, bold theodolites. regu"
3185,Supplier#000003185,hMa535Cbf2mj1Nw4OWOKWVrsK0VdDkJURrdjSIJe,3,13-979-274-8468,-475.9,quickly final pinto beans wake carefu
3191,Supplier#000003191,7A3COSS5tlXMcMa3jajZmQfQp,15,25-886-362-9931,9474.45,sly final requests nag above the fluffily even sauternes. deposits
9192,Supplier#000009192,uejb5jHTAqR SajE1E8bf6Fdawr7F8FW25HK,4,14-578-864-7183,-609.18,wly express foxes wake blithely. slyly regular dep
9193,Supplier#000009193,"ZAoRBc9qPjGjxYCUfPQcNoSG8,0buSV",17,27-506-209-6288,438.16,jole against the blithely express instructions. regular asymptotes against th
9196,Supplier#000009196,rzIRgKBKPfPtz1 06C8kIclix,6,16-611-625-6484,7227.46,ng the furiously silent package
9197,Supplier#000009197,kTmXwb9rsaQU3sJiE65,5,15-441-453-4938,7987.36,lar requests haggle slowly about the pinto beans. regular deposits haggle blithely blithe
9198,Supplier#000009198,KxMOBZ9hjBM0eZdWpCheXJ63P3RftrS2UG,15,25-533-724-2058,8686.16,tructions haggle carefully over the slyly ironic pinto be
9200,Supplier#000009200,9AN1R2aS9g4MEOduFhtStnA,20,30-967-844-5044,507.84,"ven deposits sleep atop the pending ideas. quickly final accounts among the even, ironic p"
9204,Supplier#000009204,P6chenod24,16,26-155-683-3181,-866.15,ackages. packages boost quickly blithely exp
9205,Supplier#000009205,"aOda ,dPIR352HUA6UlqjhI6GqBmqJMh, ahIgAS",5,15-546-132-6261,4493.28,fully silent dependencies cajole furiously. furiously special packages wake quick
9213,Supplier#000009213,Rk1RNWl8m8N6ODGp7S4C73QAIdV0eEUU,22,32-642-267-3594,1328.5,ckages. stealthily ruthless deposits alongside of the furiously special requests cajole carefu
9216,Supplier#000009216,Eylm6q3TNja65ulRkiceJauwXTJgiOLm3D0Xh,5,15-417-241-5494,2008.75,nic packages boost furiously. slyly special asymptotes are slyly 
9219,Supplier#000009219,"5,yTuPNvGjunlF3c82hykaO5C6noZzSG",6,16-462-513-1926,6304.58,according to the blithely regular ideas. carefully iro
9221,Supplier#000009221,6PHk0Jdw4XGvLC2inbLmnzdT5uNXJHMXDtt,24,34-986-690-3784,2536.22,", even requests. silent ideas wake after the quickly even asymptotes? special, f"
9223,Supplier#000009223,3mDusY PPK0Jjr,1,11-611-493-4880,6325.42,deposits. slyly special requests wake past the silent dependencies: never final ideas eat a
9224,Supplier#000009224,UdYNnhx9F6rZVEB,20,30-160-981-2569,5431.91,g the quickly regular deposits affix carefully special packages. requests nag fluffily special foxes
9225,Supplier#000009225,"s,MIHdC7zF",22,32-542-446-4004,3197.65,he carefully regular packages. fluffily pending deposits integrate. carefully pendin
9227,Supplier#000009227,dvYajYNbpz,3,13-271-712-5917,7840.81,haggle carefully above the blithely bold courts. fluffily quick accoun
9231,Supplier#000009231,T37AhB47xDHz48fggP gaQjmPUUEMeL2wO,8,18-767-139-4896,8150.03,"le. pending, quick accounts serve after the fur"
9237,Supplier#000009237,5xxaf 0NCk,12,22-942-504-3189,6521.83,unts haggle regular account
9242,Supplier#000009242,RNHDzJ8rblcgd3G2hjdnygsZAlrTJL,3,13-421-983-7033,1937.38,s? ironic accounts boost according to th
9243,Supplier#000009243,4KCGoNNRfCpNeZPkEgt2X4fZ,7,17-433-311-8815,-432.17,blithely regular foxes thrash blithely. u
9245,Supplier#000009245,cZnE5j68mPoc,15,25-904-400-1018,1284.23,"ickly after the even, special decoys. quickl"
9247,Supplier#000009247,IfJfNdmtUZGIM9zJTdusaKDg3cGOU5QxeM,21,31-934-273-7276,1586.97,"fully regular dependencies. final, final ideas wa"
9251,Supplier#000009251,2e20CXWM6VbVLza4MV0RYXE8Goc51Js,17,27-582-604-7096,4212.27,eposits after the carefully r
9253,Supplier#000009253,"O hOjqNkcZR2,BmHq0Rns6vCCKIgoNIQpd1CW",16,26-456-424-4340,5835.55,al platelets. blithely even instructions may grow furiousl
9256,Supplier#000009256,PxFBMa1lFwPDxQbo,16,26-512-741-5623,8617.31,"ar instructions should have to detect carefully across the ironic, bold deposits. eve"
9258,Supplier#000009258,vj 7yiMQeMGfwaLJ4OpmIRq,7,17-688-248-8351,8959.92,und the deposits grow blithely slyly bold pinto beans. quickly ironic packages about the final 
9261,Supplier#000009261,"bnZkfzyO4dSHOVDSH6vGsQIoQ,NEHIRobkEou",23,33-136-928-7087,9862.79,onic foxes. carefully final excuses use slyly about the carefully regular 
9267,Supplier#000009267,00xBspS5 6,15,25-913-150-2428,9276.39,ld ideas sleep ironically. carefully even accounts h
9280,Supplier#000009280,r9xAmwXKzmcvQ369edjp6eWP2acLGos5,4,14-231-827-1063,3825.31,"wake. final theodolites sleep blithely. furiously final dependencies sleep furiously. final, pen"
9282,Supplier#000009282,NlGTGdk YL53Qb,14,24-255-571-4829,1259.02,y close requests maintain carefully. quickly final requests against the quickly unusual deposits det
9283,Supplier#000009283,"Rmocl6ClgBzwarceqA MDM5sZcXFL2oNvsW,",8,18-642-906-6749,5234.44,deposits detect? permanent 
9285,Supplier#000009285,jGb4qMXlm0Zx4uGGROSAjtnizGIdeH,5,15-301-927-8192,326.63,aggle around the furiously even requ
3192,Supplier#000003192,jcnowqdrNtFws7AtZ2g6USqYv,15,25-932-338-8494,-897.76,lphins. evenly regular pinto beans boost blithely. carefully even ideas wake blithely furiously
3195,Supplier#000003195,y4TyUvKINQFteapCIasc,8,18-418-715-2116,4995.18,ckly. quickly express instructions wake slyly deposits. fluffily unusual acc
3196,Supplier#000003196,"u4T6CeKsJZD,MXn",2,12-420-873-2251,-56.59,ng accounts boost carefully unusual instr
3202,Supplier#000003202,pK duW8oGZXScgMkf,11,21-751-618-8676,-409.79,y unusual theodolites. blithely final depos
3203,Supplier#000003203,rEvaJTcRX5KbGYImWjnva82NySVDc1oYPdu1xu,10,20-727-365-6152,7526.18,s cajole carefully slyly final platelets. fluffily bold dependencies sleep fluffily over the slyl
3205,Supplier#000003205,viUNFpv yrsjJsjG2M3sbt,20,30-793-761-8003,3403.13,unts cajole even packages. slyly regular pinto beans boost boldly regular accoun
3206,Supplier#000003206,wkE52vw4Bo3sIE,4,14-690-834-9683,5440.73,wake instructions. quickly special deposits across the foxes unwind special foxes. accounts slee
3207,Supplier#000003207,leSBkuggLEE8kYZS4EN,24,34-820-589-9927,8391.61,nst the packages. ideas integrate steal
3208,Supplier#000003208,tgLoFm3LDaDlVyjbw36QmiQ19lrwg02ABOJE,8,18-530-199-2138,4907.39,ke blithely against the slyly silent accounts. regular pinto beans boost fluffily carefully
3210,Supplier#000003210,xG001SAxNEYwsjj,1,11-430-492-3540,4437.4,"he regular requests. special, regular accounts sleep fluffily about the bold, ironic requests. "
3211,Supplier#000003211,4TnN3VB1sxFafF6FyOPYQWfbRa7D54Tk,24,34-152-188-4052,8315.05,ets impress fluffily. quickly final requests sleep above the carefully 
3214,Supplier#000003214,"WuxgYli,8Z,4BzFqgB EyFrV9MnX",24,34-702-523-7567,5550.15,fully pending requests promise enticin
3215,Supplier#000003215,"pQWi1BS,ujQ0vmMg0iF7bRYtLzvqsdkQ",2,12-165-251-2610,-562.38,tructions nag blithely alongside of the blithely even ideas: sly
